nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
06:12:15 │ INFO     │   340/400 (85%) — 964s elapsed, ~170s remaining
06:13:12 │ INFO     │   360/400 (90%) — 1021s elapsed, ~113s remaining
06:14:09 │ INFO     │   380/400 (95%) — 1078s elapsed, ~57s remaining
06:15:06 │ INFO     │   400/400 (100%) — 1134s elapsed, ~0s remaining
06:15:06 │ INFO     │   ✓ São Paulo Grand Prix: 400 combos in 1134s
06:15:06 │ INFO     │   Saved: results/scenarios/scenarios_interlagos.json
06:15:06 │ INFO     │ ============================================================
06:15:06 │ INFO     │   PRECOMPUTING: Saudi Arabian Grand Prix
06:15:06 │ INFO     │   20 drivers × 20 positions = 400 combos
06:15:06 │ INFO     │ ============================================================
06:15:46 │ INFO     │   20/400 (5%) — 40s elapsed, ~767s remaining
06:16:26 │ INFO     │   40/400 (10%) — 81s elapsed, ~726s remaining
06:17:08 │ INFO     │   60/400 (15%) — 122s elapsed, ~694s remaining
06:17:48 │ INFO     │   80/400 (20%) — 163s elapsed, ~651s remaining
06:18:29 │ INFO     │   100/400 (25%) — 203s elapsed, ~609s remaining
06:19:09 │ INFO     │   120/400 (30%) — 243s elapsed, ~568s remaining
06:19:50 │ INFO     │   140/400 (35%) — 284s elapsed, ~527s remaining
06:20:30 │ INFO     │   160/400 (40%) — 324s elapsed, ~486s remaining
06:21:10 │ INFO     │   180/400 (45%) — 364s elapsed, ~445s remaining
06:21:50 │ INFO     │   200/400 (50%) — 405s elapsed, ~405s remaining
06:22:31 │ INFO     │   220/400 (55%) — 445s elapsed, ~364s remaining
06:23:12 │ INFO     │   240/400 (60%) — 486s elapsed, ~324s remaining
06:23:52 │ INFO     │   260/400 (65%) — 527s elapsed, ~284s remaining
06:24:33 │ INFO     │   280/400 (70%) — 567s elapsed, ~243s remaining
06:25:13 │ INFO     │   300/400 (75%) — 608s elapsed, ~203s remaining
06:25:54 │ INFO     │   320/400 (80%) — 648s elapsed, ~162s remaining
06:26:34 │ INFO     │   340/400 (85%) — 688s elapsed, ~121s remaining
06:27:14 │ INFO     │   360/400 (90%) — 728s elapsed, ~81s remaining
06:27:55 │ INFO     │   380/400 (95%) — 769s elapsed, ~40s remaining
06:28:35 │ INFO     │   400/400 (100%) — 809s elapsed, ~0s remaining
06:28:35 │ INFO     │   ✓ Saudi Arabian Grand Prix: 400 combos in 809s
06:28:35 │ INFO     │   Saved: results/scenarios/scenarios_jeddah.json
06:28:35 │ INFO     │ ============================================================
06:28:35 │ INFO     │   PRECOMPUTING: Las Vegas Grand Prix
06:28:35 │ INFO     │   20 drivers × 20 positions = 400 combos
06:28:35 │ INFO     │ ============================================================
06:29:16 │ INFO     │   20/400 (5%) — 41s elapsed, ~772s remaining
06:29:57 │ INFO     │   40/400 (10%) — 82s elapsed, ~737s remaining
06:30:38 │ INFO     │   60/400 (15%) — 123s elapsed, ~698s remaining
06:31:19 │ INFO     │   80/400 (20%) — 164s elapsed, ~657s remaining
06:32:00 │ INFO     │   100/400 (25%) — 205s elapsed, ~616s remaining
06:32:42 │ INFO     │   120/400 (30%) — 247s elapsed, ~577s remaining
06:33:23 │ INFO     │   140/400 (35%) — 288s elapsed, ~536s remaining
06:34:05 │ INFO     │   160/400 (40%) — 330s elapsed, ~494s remaining
06:34:45 │ INFO     │   180/400 (45%) — 371s elapsed, ~453s remaining
06:35:26 │ INFO     │   200/400 (50%) — 412s elapsed, ~412s remaining
06:36:07 │ INFO     │   220/400 (55%) — 452s elapsed, ~370s remaining
06:36:48 │ INFO     │   240/400 (60%) — 493s elapsed, ~329s remaining
06:37:29 │ INFO     │   260/400 (65%) — 534s elapsed, ~287s remaining
06:38:10 │ INFO     │   280/400 (70%) — 575s elapsed, ~247s remaining
06:38:51 │ INFO     │   300/400 (75%) — 616s elapsed, ~205s remaining
06:39:32 │ INFO     │   320/400 (80%) — 658s elapsed, ~164s remaining
06:40:14 │ INFO     │   340/400 (85%) — 699s elapsed, ~123s remaining
06:40:55 │ INFO     │   360/400 (90%) — 740s elapsed, ~82s remaining
06:41:36 │ INFO     │   380/400 (95%) — 781s elapsed, ~41s remaining
06:42:18 │ INFO     │   400/400 (100%) — 823s elapsed, ~0s remaining
06:42:18 │ INFO     │   ✓ Las Vegas Grand Prix: 400 combos in 823s
06:42:18 │ INFO     │   Saved: results/scenarios/scenarios_las_vegas.json
06:42:18 │ INFO     │ ============================================================
06:42:18 │ INFO     │   PRECOMPUTING: Qatar Grand Prix
06:42:18 │ INFO     │   20 drivers × 20 positions = 400 combos
06:42:18 │ INFO     │ ============================================================
06:43:03 │ INFO     │   20/400 (5%) — 45s elapsed, ~864s remaining
06:43:48 │ INFO     │   40/400 (10%) — 90s elapsed, ~812s remaining
06:44:34 │ INFO     │   60/400 (15%) — 136s elapsed, ~771s remaining
06:45:19 │ INFO     │   80/400 (20%) — 181s elapsed, ~724s remaining
06:46:04 │ INFO     │   100/400 (25%) — 226s elapsed, ~679s remaining
06:46:50 │ INFO     │   120/400 (30%) — 272s elapsed, ~634s remaining
06:47:36 │ INFO     │   140/400 (35%) — 318s elapsed, ~591s remaining
06:48:21 │ INFO     │   160/400 (40%) — 364s elapsed, ~546s remaining
06:49:08 │ INFO     │   180/400 (45%) — 410s elapsed, ~502s remaining
06:49:54 │ INFO     │   200/400 (50%) — 457s elapsed, ~457s remaining
06:50:40 │ INFO     │   220/400 (55%) — 503s elapsed, ~411s remaining
06:51:26 │ INFO     │   240/400 (60%) — 548s elapsed, ~365s remaining
06:52:11 │ INFO     │   260/400 (65%) — 593s elapsed, ~320s remaining
06:52:56 │ INFO     │   280/400 (70%) — 638s elapsed, ~274s remaining
06:53:42 │ INFO     │   300/400 (75%) — 684s elapsed, ~228s remaining
06:54:29 │ INFO     │   320/400 (80%) — 731s elapsed, ~183s remaining
06:55:15 │ INFO     │   340/400 (85%) — 777s elapsed, ~137s remaining
06:56:02 │ INFO     │   360/400 (90%) — 824s elapsed, ~92s remaining
